"Category";"Casos Confirmados"
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-02-29;0
2020-03-01;0
2020-03-02;1
2020-03-03;1
2020-03-04;1
2020-03-05;1
2020-03-06;1
2020-03-07;1
2020-03-08;2
2020-03-09;2
2020-03-10;2
2020-03-11;2
2020-03-12;5
2020-03-13;14
2020-03-14;26
2020-03-15;53
2020-03-16;70
2020-03-17;83
2020-03-18;112
2020-03-19;132
2020-03-20;195
2020-03-21;225
2020-03-22;240
2020-03-23;268
2020-03-24;296
2020-03-25;331
2020-03-26;362
2020-03-27;398
2020-03-28;421
2020-03-29;438
2020-03-30;479
2020-03-31;504
2020-04-01;575
2020-04-02;623
2020-04-03;655
2020-04-04;689
2020-04-05;754
2020-04-06;781
2020-04-07;814
2020-04-08;864
2020-04-09;901
2020-04-10;976
2020-04-11;1015
2020-04-12;1052
2020-04-13;1101
2020-04-14;1149
2020-04-15;1253
2020-04-16;1302
2020-04-17;1363
2020-04-18;1434
2020-04-19;1502
2020-04-20;1642
2020-04-21;1723
2020-04-22;1798
2020-04-23;1889
2020-04-24;1998
2020-04-25;2134
2020-04-26;2244
2020-04-27;2398
2020-04-28;2509
2020-04-29;2646
2020-04-30;2873
2020-05-01;3203
2020-05-02;3423
2020-05-03;3623
2020-05-04;3854
2020-05-05;4153
2020-05-06;4392
2020-05-07;4634
2020-05-08;5003
2020-05-09;5320
2020-05-10;5830
2020-05-11;6190
2020-05-12;6550
2020-05-13;6876
2020-05-14;7248
2020-05-15;7825
2020-05-16;8234
2020-05-17;8648
2020-05-18;9219
2020-05-19;9678
2020-05-20;10436
2020-05-21;10989
2020-05-22;11596
2020-05-23;12188
2020-05-24;12797
2020-05-25;13829
2020-05-26;14488
2020-05-27;15083
2020-05-28;15852
2020-05-29;16626
2020-05-30;17360
2020-05-31;17956
2020-06-01;19345
2020-06-02;20242
2020-06-03;21042
2020-06-04;21909
2020-06-05;22994
2020-06-06;23828
2020-06-07;24500
2020-06-08;25475
2020-06-09;26222
2020-06-10;27373
2020-06-11;28083
2020-06-12;28975
2020-06-13;29671
2020-06-14;30366
2020-06-15;31450
2020-06-16;32186
2020-06-17;32835
2020-06-18;33545
2020-06-19;34247
2020-06-20;35225
2020-06-21;35778
2020-06-22;36456
2020-06-23;37038
2020-06-24;37549
2020-06-25;38294
2020-06-26;39028
2020-06-27;39520
2020-06-28;40041
2020-06-29;40762
2020-06-30;41724
2020-07-01;42858
2020-07-02;43745
2020-07-03;44588
2020-07-04;45080
2020-07-05;45654
2020-07-06;46776
2020-07-07;47465
2020-07-08;48039
2020-07-09;48544
2020-07-10;49465
2020-07-11;49878
2020-07-12;50282
2020-07-13;50890
2020-07-14;51487
2020-07-15;52079
2020-07-16;52508
2020-07-17;53028
2020-07-18;53427
2020-07-19;53809
2020-07-20;54588
2020-07-21;55091
2020-07-22;55596
2020-07-23;56043
2020-07-24;56586
2020-07-25;57026
2020-07-26;57379
2020-07-27;57947
2020-07-28;58412
2020-07-29;58861
2020-07-30;59265
2020-07-31;59664
2020-08-01;60324
2020-08-02;60706
2020-08-03;61154
2020-08-04;61621
2020-08-05;62078
2020-08-06;62417
2020-08-07;62813
2020-08-08;63125
2020-08-09;63368
2020-08-10;63903
2020-08-11;64236
2020-08-12;64630
2020-08-13;64957
2020-08-14;65362
2020-08-15;65756
2020-08-16;66020
2020-08-17;66386
2020-08-18;66721
2020-08-19;67079
2020-08-20;67573
2020-08-21;67911
2020-08-22;68179
2020-08-23;68427
2020-08-24;68741
2020-08-25;69110
2020-08-26;69404
2020-08-27;69653
2020-08-28;69966
2020-08-29;70179
2020-08-30;70427
2020-08-31;70728
2020-09-01;71145
2020-09-02;71414
2020-09-03;71714
2020-09-04;71949
2020-09-05;72185
2020-09-06;72354
2020-09-07;72548
2020-09-08;72840
2020-09-09;73095
2020-09-10;73504
2020-09-11;73738
2020-09-12;73940
2020-09-13;74139
2020-09-14;74508
2020-09-15;74908
2020-09-16;75196
2020-09-17;75481
2020-09-18;75730
2020-09-19;75948
2020-09-20;76251
2020-09-21;76639
2020-09-22;77036
2020-09-23;77388
2020-09-24;77785
2020-09-25;78098
2020-09-26;78273
2020-09-27;78428
2020-09-28;78731
2020-09-29;78959
2020-09-30;79225
2020-10-01;79685
2020-10-02;79963
2020-10-03;80149
2020-10-04;80302
2020-10-05;80648
2020-10-06;80910
2020-10-07;81215
2020-10-08;81553
2020-10-09;81903
2020-10-10;82430
2020-10-11;82569
2020-10-12;82813
2020-10-13;83181
2020-10-14;83591
2020-10-15;83995
2020-10-16;84354
2020-10-17;84523
2020-10-18;84688
2020-10-19;85022
2020-10-20;85523
2020-10-21;86002
2020-10-22;86361
2020-10-23;86670
2020-10-24;86849
2020-10-25;87075
2020-10-26;87427
2020-10-27;87768
2020-10-28;88165
2020-10-29;88525
2020-10-30;88778
2020-10-31;88959
2020-11-01;89330
2020-11-02;89632
2020-11-03;90144
2020-11-04;90481
2020-11-05;90877
2020-11-06;91222
2020-11-07;91458
2020-11-08;91697
2020-11-09;92157
2020-11-10;92767
2020-11-11;93259
2020-11-12;93769
